tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/BWDistantResources32x32.xml
iterations	2
maxGameLength	6000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	765	1	-1	-1
0	0	0	2	1095	0	-1	-1
0	0	0	3	900	0	-1	-1
0	0	0	4	790	1	-1	-1
0	0	0	5	870	1	-1	-1
0	0	0	6	6000	-1	-1	-1
0	0	0	7	1645	1	-1	-1
0	0	0	8	1355	0	-1	-1
0	0	0	9	980	1	-1	-1
0	0	0	10	325	0	-1	-1
0	0	0	11	1265	0	-1	-1
0	0	0	12	300	0	1	-1
0	0	0	13	775	1	-1	-1
0	0	0	14	961	1	-1	-1
0	0	0	15	768	1	-1	-1
0	0	0	16	1760	0	-1	-1
0	0	1	0	757	0	-1	-1
0	0	1	2	927	0	-1	-1
0	0	1	3	547	0	-1	-1
0	0	1	4	645	1	-1	-1
0	0	1	5	1321	1	-1	-1
0	0	1	6	1107	0	-1	-1
0	0	1	7	1164	0	-1	-1
0	0	1	8	769	0	-1	-1
0	0	1	9	1216	0	-1	-1
0	0	1	10	428	0	-1	-1
0	0	1	11	688	0	-1	-1
0	0	1	12	410	0	1	-1
0	0	1	13	673	0	-1	-1
0	0	1	14	1686	0	-1	-1
0	0	1	15	1111	0	-1	-1
0	0	1	16	905	1	-1	-1
0	0	2	0	995	1	-1	-1
0	0	2	1	1506	1	-1	-1
0	0	2	3	6000	-1	-1	-1
0	0	2	4	1090	1	-1	-1
0	0	2	5	1265	1	-1	-1
0	0	2	6	3398	1	-1	-1
0	0	2	7	6000	-1	-1	-1
0	0	2	8	935	1	-1	-1
0	0	2	9	1280	1	-1	-1
0	0	2	10	3155	0	-1	-1
0	0	2	11	805	1	-1	-1
0	0	2	12	6000	-1	-1	-1
0	0	2	13	980	1	-1	-1
0	0	2	14	2375	1	-1	-1
0	0	2	15	1033	1	-1	-1
0	0	2	16	725	1	-1	-1
0	0	3	0	625	1	-1	-1
0	0	3	1	630	1	-1	-1
0	0	3	2	6000	-1	-1	-1
0	0	3	4	620	1	-1	-1
0	0	3	5	725	1	-1	-1
0	0	3	6	6000	-1	-1	-1
0	0	3	7	6000	-1	-1	-1
0	0	3	8	715	1	-1	-1
0	0	3	9	605	1	-1	-1
0	0	3	10	6000	-1	-1	-1
0	0	3	11	570	1	-1	-1
0	0	3	12	6000	-1	-1	-1
0	0	3	13	525	1	-1	-1
0	0	3	14	885	1	-1	-1
0	0	3	15	577	1	-1	-1
0	0	3	16	560	1	-1	-1
0	0	4	0	1205	0	-1	-1
0	0	4	1	660	0	-1	-1
0	0	4	2	985	0	-1	-1
0	0	4	3	690	0	-1	-1
0	0	4	5	1135	1	-1	-1
0	0	4	6	890	0	-1	-1
0	0	4	7	949	0	-1	-1
0	0	4	8	840	0	-1	-1
0	0	4	9	1660	1	-1	-1
0	0	4	10	490	0	-1	-1
0	0	4	11	1125	0	-1	-1
0	0	4	12	470	0	1	-1
0	0	4	13	1545	0	-1	-1
0	0	4	14	975	0	-1	-1
0	0	4	15	755	0	-1	-1
0	0	4	16	6000	-1	-1	-1
0	0	5	0	835	0	-1	-1
0	0	5	1	1360	0	-1	-1
0	0	5	2	1175	0	-1	-1
0	0	5	3	735	0	-1	-1
0	0	5	4	1392	0	-1	-1
0	0	5	6	930	0	-1	-1
0	0	5	7	998	0	-1	-1
0	0	5	8	920	0	-1	-1
0	0	5	9	1480	0	-1	-1
0	0	5	10	490	0	-1	-1
