tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/BroodWar/(4)BloodBath.scmB.xml
iterations	1
maxGameLength	8000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	1984	1	-1	-1
0	0	0	2	3130	0	-1	-1
0	0	0	3	1580	0	-1	-1
0	0	0	4	1725	1	-1	-1
0	0	0	5	2130	1	-1	-1
0	0	0	6	1245	0	-1	-1
0	0	0	7	1155	0	-1	-1
0	0	0	8	2295	1	-1	-1
0	0	0	9	2025	1	-1	-1
0	0	0	10	1140	0	-1	-1
0	0	0	11	8000	-1	-1	-1
0	0	0	12	1814	1	-1	-1
0	0	0	13	1935	1	-1	-1
0	0	0	14	3725	1	-1	-1
0	0	0	15	2105	1	-1	-1
0	0	0	16	1140	0	-1	-1
0	0	1	0	2499	0	-1	-1
0	0	1	2	3129	0	-1	-1
0	0	1	3	2090	0	-1	-1
0	0	1	4	2405	1	-1	-1
0	0	1	5	1925	1	-1	-1
0	0	1	6	2062	0	-1	-1
0	0	1	7	2064	0	-1	-1
0	0	1	8	3531	0	-1	-1
0	0	1	9	1877	1	-1	-1
0	0	1	10	1605	0	-1	-1
0	0	1	11	4030	0	-1	-1
0	0	1	12	1826	1	-1	-1
0	0	1	13	2360	1	-1	-1
0	0	1	14	2854	1	-1	-1
0	0	1	15	2358	1	-1	-1
0	0	1	16	1605	0	-1	-1
0	0	2	0	2095	1	-1	-1
0	0	2	1	2923	1	-1	-1
0	0	2	3	8000	-1	-1	-1
0	0	2	4	2935	1	-1	-1
0	0	2	5	2755	1	-1	-1
0	0	2	6	8000	-1	-1	-1
0	0	2	7	8000	-1	-1	-1
0	0	2	8	2055	1	-1	-1
0	0	2	9	3065	1	-1	-1
0	0	2	10	8000	-1	-1	-1
0	0	2	11	2735	1	-1	-1
0	0	2	12	8000	-1	-1	-1
0	0	2	13	1995	1	-1	-1
0	0	2	14	3655	1	-1	-1
0	0	2	15	3295	1	-1	-1
0	0	2	16	8000	-1	-1	-1
0	0	3	0	1415	1	-1	-1
0	0	3	1	1693	1	-1	-1
0	0	3	2	8000	-1	-1	-1
0	0	3	4	1915	1	-1	-1
0	0	3	5	2000	1	-1	-1
0	0	3	6	8000	-1	-1	-1
0	0	3	7	8000	-1	-1	-1
0	0	3	8	1425	1	-1	-1
0	0	3	9	1900	1	-1	-1
0	0	3	10	8000	-1	-1	-1
0	0	3	11	1465	1	-1	-1
0	0	3	12	8000	-1	-1	-1
0	0	3	13	1785	1	-1	-1
0	0	3	14	1899	1	-1	-1
0	0	3	15	2895	1	-1	-1
0	0	3	16	8000	-1	-1	-1
0	0	4	0	2550	0	-1	-1
0	0	4	1	6572	1	-1	-1
0	0	4	2	2505	0	-1	-1
0	0	4	3	2065	0	-1	-1
0	0	4	5	2820	1	-1	-1
0	0	4	6	2025	0	-1	-1
0	0	4	7	2010	0	-1	-1
0	0	4	8	2620	0	-1	-1
0	0	4	9	2440	1	-1	-1
0	0	4	10	1765	0	-1	-1
0	0	4	11	2685	0	-1	-1
0	0	4	12	2090	0	-1	-1
0	0	4	13	4500	0	-1	-1
0	0	4	14	2645	0	-1	-1
0	0	4	15	2820	0	-1	-1
0	0	4	16	1765	0	-1	-1
0	0	5	0	2280	0	-1	-1
0	0	5	1	2535	0	-1	-1
0	0	5	2	3175	0	-1	-1
0	0	5	3	2095	0	-1	-1
0	0	5	4	5440	0	-1	-1
0	0	5	6	1990	0	-1	-1
0	0	5	7	1875	0	-1	-1
0	0	5	8	2520	0	-1	-1
0	0	5	9	8000	-1	-1	-1
0	0	5	10	1775	0	-1	-1
0	0	5	11	2275	0	-1	-1
0	0	5	12	1955	0	-1	-1
0	0	5	13	3305	1	-1	-1
0	0	5	14	2695	0	-1	-1
0	0	5	15	2475	0	-1	-1
0	0	5	16	1775	0	-1	-1
0	0	6	0	1145	1	-1	-1
0	0	6	1	1482	1	-1	-1
0	0	6	2	8000	-1	-1	-1
0	0	6	3	8000	-1	-1	-1
