tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/DoubleGame24x24.xml
iterations	2
maxGameLength	5000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	5000	-1	-1	-1
0	0	0	2	5000	-1	-1	-1
0	0	0	3	585	0	-1	-1
0	0	0	4	315	0	-1	-1
0	0	0	5	845	1	-1	-1
0	0	0	6	565	0	-1	-1
0	0	0	7	295	0	-1	-1
0	0	0	8	5000	-1	-1	-1
0	0	0	9	335	0	-1	-1
0	0	0	10	280	0	-1	-1
0	0	0	11	740	0	-1	-1
0	0	0	12	325	0	-1	-1
0	0	0	13	415	0	-1	-1
0	0	0	14	5000	-1	-1	-1
0	0	0	15	5000	-1	-1	-1
0	0	0	16	650	1	-1	-1
0	0	1	0	5000	-1	-1	-1
0	0	1	2	4034	0	-1	-1
0	0	1	3	3849	0	-1	-1
0	0	1	4	786	1	-1	-1
0	0	1	5	1635	1	-1	-1
0	0	1	6	5000	-1	-1	-1
0	0	1	7	4826	1	-1	-1
0	0	1	8	5000	-1	-1	-1
0	0	1	9	2800	1	-1	-1
0	0	1	10	3601	0	-1	-1
0	0	1	11	5000	-1	-1	-1
0	0	1	12	3653	0	-1	-1
0	0	1	13	4740	0	-1	-1
0	0	1	14	2205	1	-1	-1
0	0	1	15	5000	-1	-1	-1
0	0	1	16	927	1	-1	-1
0	0	2	0	5000	-1	-1	-1
0	0	2	1	3085	1	-1	-1
0	0	2	3	2541	0	-1	-1
0	0	2	4	865	1	-1	-1
0	0	2	5	1315	1	-1	-1
0	0	2	6	5000	-1	-1	-1
0	0	2	7	3013	1	-1	-1
0	0	2	8	5000	-1	-1	-1
0	0	2	9	3785	1	-1	-1
0	0	2	10	1990	0	-1	-1
0	0	2	11	5000	-1	-1	-1
0	0	2	12	2170	0	-1	-1
0	0	2	13	5000	-1	-1	-1
0	0	2	14	2111	1	-1	-1
0	0	2	15	3100	0	-1	-1
0	0	2	16	971	1	-1	-1
0	0	3	0	355	1	-1	-1
0	0	3	1	3237	1	-1	-1
0	0	3	2	5000	-1	-1	-1
0	0	3	4	755	1	-1	-1
0	0	3	5	645	1	-1	-1
0	0	3	6	5000	-1	-1	-1
0	0	3	7	3435	1	-1	-1
0	0	3	8	515	1	-1	-1
0	0	3	9	3300	1	-1	-1
0	0	3	10	2970	0	-1	-1
0	0	3	11	680	1	-1	-1
0	0	3	12	5000	-1	-1	-1
0	0	3	13	2178	1	-1	-1
0	0	3	14	925	1	-1	-1
0	0	3	15	555	1	-1	-1
0	0	3	16	669	1	-1	-1
0	0	4	0	305	1	-1	-1
0	0	4	1	737	0	-1	-1
0	0	4	2	850	0	-1	-1
0	0	4	3	825	0	-1	-1
0	0	4	5	4005	1	-1	-1
0	0	4	6	695	0	-1	-1
0	0	4	7	615	0	-1	-1
0	0	4	8	711	1	-1	-1
