tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/8x8/FourBasesWorkers8x8.xml
iterations	2
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	140	0	-1	-1
0	0	0	2	510	1	-1	-1
0	0	0	3	275	0	-1	-1
0	0	0	4	565	1	-1	-1
0	0	0	5	260	1	-1	-1
0	0	0	6	145	0	-1	-1
0	0	0	7	485	0	-1	-1
0	0	0	8	585	1	-1	-1
0	0	0	9	150	0	-1	-1
0	0	0	10	135	0	-1	-1
0	0	0	11	295	0	-1	-1
0	0	0	12	371	1	-1	-1
0	0	0	13	175	0	-1	-1
0	0	0	14	225	0	-1	-1
0	0	0	15	255	1	-1	-1
0	0	0	16	286	1	-1	-1
0	0	1	0	150	1	-1	-1
0	0	1	2	230	1	-1	-1
0	0	1	3	582	0	-1	-1
0	0	1	4	225	1	-1	-1
0	0	1	5	428	0	-1	-1
0	0	1	6	497	1	-1	-1
0	0	1	7	515	0	-1	-1
0	0	1	8	195	1	-1	-1
0	0	1	9	403	0	-1	-1
0	0	1	10	360	0	-1	-1
0	0	1	11	150	1	-1	-1
0	0	1	12	178	1	-1	-1
0	0	1	13	336	1	-1	-1
0	0	1	14	445	1	-1	-1
0	0	1	15	150	1	-1	-1
0	0	1	16	163	1	-1	-1
0	0	2	0	655	0	-1	-1
0	0	2	1	220	0	-1	-1
0	0	2	3	245	0	-1	-1
0	0	2	4	275	1	-1	-1
0	0	2	5	1055	1	-1	-1
0	0	2	6	195	0	-1	-1
0	0	2	7	260	0	-1	-1
0	0	2	8	595	0	-1	-1
0	0	2	9	345	0	-1	-1
0	0	2	10	255	0	-1	-1
0	0	2	11	550	0	-1	-1
0	0	2	12	640	0	-1	-1
0	0	2	13	540	0	-1	-1
0	0	2	14	405	0	-1	-1
0	0	2	15	345	0	-1	-1
0	0	2	16	300	1	-1	-1
0	0	3	0	230	1	-1	-1
0	0	3	1	752	1	-1	-1
0	0	3	2	390	1	-1	-1
0	0	3	4	275	1	-1	-1
0	0	3	5	410	1	-1	-1
0	0	3	6	610	1	-1	-1
0	0	3	7	910	0	-1	-1
0	0	3	8	195	1	-1	-1
0	0	3	9	1255	1	-1	-1
0	0	3	10	565	0	-1	-1
0	0	3	11	215	1	-1	-1
0	0	3	12	295	1	-1	-1
0	0	3	13	988	0	-1	-1
0	0	3	14	430	1	-1	-1
0	0	3	15	190	1	-1	-1
0	0	3	16	211	1	-1	-1
0	0	4	0	685	0	-1	-1
0	0	4	1	155	0	-1	-1
0	0	4	2	290	0	-1	-1
0	0	4	3	365	0	-1	-1
0	0	4	5	541	0	-1	-1
0	0	4	6	140	0	-1	-1
0	0	4	7	355	0	-1	-1
0	0	4	8	140	1	-1	-1
0	0	4	9	180	0	-1	-1
0	0	4	10	135	0	-1	-1
0	0	4	11	360	0	-1	-1
0	0	4	12	270	0	-1	-1
0	0	4	13	259	0	-1	-1
0	0	4	14	320	0	-1	-1
0	0	4	15	700	0	-1	-1
0	0	4	16	339	1	-1	-1
0	0	5	0	390	0	-1	-1
0	0	5	1	265	0	-1	-1
0	0	5	2	1080	0	-1	-1
0	0	5	3	595	0	-1	-1
0	0	5	4	3000	-1	-1	-1
0	0	5	6	205	0	-1	-1
0	0	5	7	780	0	-1	-1
0	0	5	8	265	1	-1	-1
0	0	5	9	675	1	-1	-1
0	0	5	10	170	0	-1	-1
0	0	5	11	1880	0	-1	-1
0	0	5	12	500	0	-1	-1
0	0	5	13	3000	-1	-1	-1
0	0	5	14	540	0	-1	-1
0	0	5	15	390	0	-1	-1
0	0	5	16	340	1	-1	-1
0	0	6	0	140	1	-1	-1
0	0	6	1	384	1	-1	-1
0	0	6	2	225	1	-1	-1
0	0	6	3	515	1	-1	-1
0	0	6	4	155	1	-1	-1
0	0	6	5	3000	-1	-1	-1
0	0	6	7	1099	1	-1	-1
0	0	6	8	155	1	-1	-1
0	0	6	9	1600	1	-1	-1
0	0	6	10	3000	-1	-1	-1
0	0	6	11	140	1	-1	-1
0	0	6	12	155	1	-1	-1
0	0	6	13	215	1	-1	-1
0	0	6	14	280	1	-1	-1
0	0	6	15	140	1	-1	-1
0	0	6	16	163	1	-1	-1
0	0	7	0	140	1	-1	-1
0	0	7	1	495	1	-1	-1
0	0	7	2	225	1	-1	-1
0	0	7	3	640	1	-1	-1
0	0	7	4	260	1	-1	-1
0	0	7	5	230	1	-1	-1
0	0	7	6	628	0	-1	-1
0	0	7	8	185	1	-1	-1
0	0	7	9	1239	1	-1	-1
0	0	7	10	769	0	-1	-1
0	0	7	11	200	1	-1	-1
0	0	7	12	266	1	-1	-1
0	0	7	13	3000	-1	-1	-1
0	0	7	14	340	1	-1	-1
0	0	7	15	140	1	-1	-1
0	0	7	16	165	1	-1	-1
0	0	8	0	260	1	-1	-1
0	0	8	1	175	0	-1	-1
0	0	8	2	349	0	-1	-1
0	0	8	3	170	0	-1	-1
0	0	8	4	175	0	-1	-1
0	0	8	5	325	0	-1	-1
0	0	8	6	165	0	-1	-1
0	0	8	7	170	0	-1	-1
0	0	8	9	160	0	-1	-1
0	0	8	10	145	0	-1	-1
0	0	8	11	340	1	-1	-1
0	0	8	12	380	0	-1	-1
0	0	8	13	174	0	-1	-1
0	0	8	14	205	0	-1	-1
0	0	8	15	525	0	-1	-1
0	0	8	16	335	0	-1	-1
0	0	9	0	150	1	-1	-1
0	0	9	1	415	1	-1	-1
0	0	9	2	370	1	-1	-1
0	0	9	3	910	0	-1	-1
0	0	9	4	200	1	-1	-1
0	0	9	5	665	0	-1	-1
0	0	9	6	625	0	-1	-1
0	0	9	7	3000	-1	-1	-1
0	0	9	8	165	1	-1	-1
0	0	9	10	2330	0	-1	-1
0	0	9	11	150	1	-1	-1
0	0	9	12	125	1	-1	-1
0	0	9	13	645	1	-1	-1
0	0	9	14	235	1	-1	-1
0	0	9	15	150	1	-1	-1
0	0	9	16	221	1	-1	-1
0	0	10	0	160	1	-1	-1
0	0	10	1	175	0	-1	-1
0	0	10	2	330	1	-1	-1
0	0	10	3	480	0	-1	-1
0	0	10	4	225	1	-1	-1
0	0	10	5	220	1	-1	-1
0	0	10	6	240	0	-1	-1
0	0	10	7	561	0	-1	-1
0	0	10	8	130	1	-1	-1
0	0	10	9	265	0	-1	-1
0	0	10	11	210	1	-1	-1
0	0	10	12	353	0	-1	-1
0	0	10	13	230	0	-1	-1
0	0	10	14	440	1	-1	-1
0	0	10	15	335	1	-1	-1
0	0	10	16	225	1	-1	-1
0	0	11	0	300	0	-1	-1
0	0	11	1	155	0	-1	-1
0	0	11	2	290	1	-1	-1
0	0	11	3	255	0	-1	-1
0	0	11	4	320	1	-1	-1
0	0	11	5	370	1	-1	-1
0	0	11	6	145	0	-1	-1
0	0	11	7	355	0	-1	-1
0	0	11	8	327	1	-1	-1
0	0	11	9	165	0	-1	-1
0	0	11	10	135	0	-1	-1
0	0	11	12	310	0	-1	-1
0	0	11	13	265	0	-1	-1
0	0	11	14	305	1	-1	-1
0	0	11	15	285	0	-1	-1
0	0	11	16	320	1	-1	-1
0	0	12	0	280	1	-1	-1
0	0	12	1	235	0	-1	-1
0	0	12	2	345	1	-1	-1
0	0	12	3	285	0	-1	-1
0	0	12	4	170	1	0	-1
0	0	12	5	1645	1	-1	-1
0	0	12	6	210	0	-1	-1
0	0	12	7	225	0	-1	-1
0	0	12	8	310	1	-1	-1
0	0	12	9	3000	-1	-1	-1
0	0	12	10	171	0	-1	-1
0	0	12	11	430	1	-1	-1
0	0	12	13	237	0	-1	-1
0	0	12	14	370	0	-1	-1
0	0	12	15	320	1	-1	-1
0	0	12	16	250	1	-1	-1
0	0	13	0	205	1	-1	-1
0	0	13	1	250	0	-1	-1
0	0	13	2	445	1	-1	-1
0	0	13	3	695	1	-1	-1
0	0	13	4	213	1	-1	-1
0	0	13	5	3000	-1	-1	-1
0	0	13	6	155	0	-1	-1
0	0	13	7	3000	-1	-1	-1
0	0	13	8	195	1	-1	-1
0	0	13	9	210	0	-1	-1
0	0	13	10	135	0	-1	-1
0	0	13	11	3000	-1	-1	-1
0	0	13	12	256	1	-1	-1
0	0	13	14	445	1	-1	-1
0	0	13	15	205	1	-1	-1
0	0	13	16	269	1	-1	-1
0	0	14	0	580	0	-1	-1
0	0	14	1	210	0	-1	-1
0	0	14	2	555	1	-1	-1
0	0	14	3	1060	0	-1	-1
0	0	14	4	325	1	-1	-1
0	0	14	5	405	1	-1	-1
0	0	14	6	260	0	-1	-1
0	0	14	7	350	0	-1	-1
0	0	14	8	211	1	-1	-1
0	0	14	9	290	0	-1	-1
0	0	14	10	275	0	-1	-1
0	0	14	11	315	1	-1	-1
0	0	14	12	335	1	-1	-1
0	0	14	13	470	0	-1	-1
0	0	14	15	260	1	-1	-1
0	0	14	16	280	1	-1	-1
0	0	15	0	225	1	-1	-1
0	0	15	1	140	0	-1	-1
0	0	15	2	695	1	-1	-1
0	0	15	3	190	0	-1	-1
0	0	15	4	580	1	-1	-1
0	0	15	5	255	1	-1	-1
0	0	15	6	150	0	-1	-1
0	0	15	7	485	0	-1	-1
0	0	15	8	371	1	-1	-1
0	0	15	9	150	0	-1	-1
0	0	15	10	135	0	-1	-1
0	0	15	11	295	0	-1	-1
0	0	15	12	225	0	-1	-1
0	0	15	13	175	0	-1	-1
0	0	15	14	265	0	-1	-1
0	0	15	16	307	1	-1	-1
0	0	16	0	247	0	-1	-1
0	0	16	1	145	0	-1	-1
0	0	16	2	295	0	-1	-1
0	0	16	3	180	0	-1	-1
0	0	16	4	305	0	-1	-1
0	0	16	5	292	0	-1	-1
0	0	16	6	141	0	-1	-1
0	0	16	7	156	0	-1	-1
0	0	16	8	260	1	-1	-1
0	0	16	9	176	0	-1	-1
0	0	16	10	135	0	-1	-1
0	0	16	11	271	0	-1	-1
0	0	16	12	205	0	-1	-1
0	0	16	13	171	0	-1	-1
0	0	16	14	205	0	-1	-1
0	0	16	15	301	0	-1	-1
1	0	0	1	140	0	-1	-1
1	0	0	2	315	1	-1	-1
1	0	0	3	195	0	-1	-1
1	0	0	4	565	1	-1	-1
1	0	0	5	260	1	-1	-1
1	0	0	6	145	0	-1	-1
1	0	0	7	485	0	-1	-1
1	0	0	8	310	1	-1	-1
1	0	0	9	150	0	-1	-1
1	0	0	10	135	0	-1	-1
1	0	0	11	295	0	-1	-1
1	0	0	12	160	0	1	-1
1	0	0	13	175	0	-1	-1
1	0	0	14	215	0	-1	-1
1	0	0	15	255	1	-1	-1
1	0	0	16	297	1	-1	-1
1	0	1	0	150	1	-1	-1
1	0	1	2	175	1	-1	-1
1	0	1	3	759	0	-1	-1
1	0	1	4	225	1	-1	-1
1	0	1	5	428	0	-1	-1
1	0	1	6	701	0	-1	-1
1	0	1	7	515	0	-1	-1
1	0	1	8	145	1	-1	-1
1	0	1	9	403	0	-1	-1
1	0	1	10	360	0	-1	-1
1	0	1	11	150	1	-1	-1
1	0	1	12	177	1	-1	-1
1	0	1	13	336	1	-1	-1
1	0	1	14	305	1	-1	-1
1	0	1	15	150	1	-1	-1
1	0	1	16	168	1	-1	-1
1	0	2	0	520	0	-1	-1
1	0	2	1	180	0	-1	-1
1	0	2	3	295	0	-1	-1
1	0	2	4	415	1	-1	-1
1	0	2	5	370	1	-1	-1
1	0	2	6	260	0	-1	-1
1	0	2	7	235	0	-1	-1
1	0	2	8	620	0	-1	-1
1	0	2	9	265	0	-1	-1
1	0	2	10	200	0	-1	-1
1	0	2	11	450	0	-1	-1
1	0	2	12	450	0	-1	-1
1	0	2	13	350	0	-1	-1
1	0	2	14	335	0	-1	-1
1	0	2	15	295	0	-1	-1
1	0	2	16	231	1	-1	-1
1	0	3	0	220	1	-1	-1
1	0	3	1	478	1	-1	-1
1	0	3	2	305	1	-1	-1
1	0	3	4	200	1	-1	-1
1	0	3	5	455	1	-1	-1
1	0	3	6	1186	0	-1	-1
1	0	3	7	620	0	-1	-1
1	0	3	8	175	1	-1	-1
1	0	3	9	1065	0	-1	-1
1	0	3	10	460	0	-1	-1
1	0	3	11	175	1	-1	-1
1	0	3	12	235	1	-1	-1
1	0	3	13	900	0	-1	-1
1	0	3	14	365	1	-1	-1
1	0	3	15	240	1	-1	-1
1	0	3	16	223	1	-1	-1
1	0	4	0	685	0	-1	-1
1	0	4	1	155	0	-1	-1
1	0	4	2	405	0	-1	-1
1	0	4	3	220	0	-1	-1
1	0	4	5	541	0	-1	-1
1	0	4	6	140	0	-1	-1
1	0	4	7	355	0	-1	-1
1	0	4	8	245	1	-1	-1
1	0	4	9	180	0	-1	-1
1	0	4	10	135	0	-1	-1
1	0	4	11	360	0	-1	-1
1	0	4	12	307	0	-1	-1
1	0	4	13	259	0	-1	-1
1	0	4	14	280	0	-1	-1
1	0	4	15	700	0	-1	-1
1	0	4	16	385	1	-1	-1
1	0	5	0	390	0	-1	-1
1	0	5	1	265	0	-1	-1
1	0	5	2	470	1	-1	-1
1	0	5	3	3000	-1	-1	-1
1	0	5	4	3000	-1	-1	-1
1	0	5	6	205	0	-1	-1
1	0	5	7	780	0	-1	-1
1	0	5	8	575	1	-1	-1
1	0	5	9	675	1	-1	-1
1	0	5	10	170	0	-1	-1
1	0	5	11	1880	0	-1	-1
1	0	5	12	355	0	-1	-1
1	0	5	13	3000	-1	-1	-1
1	0	5	14	945	0	-1	-1
1	0	5	15	390	0	-1	-1
1	0	5	16	348	1	-1	-1
1	0	6	0	140	1	-1	-1
1	0	6	1	384	1	-1	-1
1	0	6	2	250	1	-1	-1
1	0	6	3	455	1	-1	-1
1	0	6	4	155	1	-1	-1
1	0	6	5	3000	-1	-1	-1
1	0	6	7	1099	1	-1	-1
1	0	6	8	160	1	-1	-1
1	0	6	9	1600	1	-1	-1
1	0	6	10	3000	-1	-1	-1
1	0	6	11	140	1	-1	-1
1	0	6	12	145	1	-1	-1
1	0	6	13	215	1	-1	-1
1	0	6	14	195	1	-1	-1
1	0	6	15	140	1	-1	-1
1	0	6	16	174	1	-1	-1
1	0	7	0	140	1	-1	-1
1	0	7	1	495	1	-1	-1
1	0	7	2	180	1	-1	-1
1	0	7	3	430	1	-1	-1
1	0	7	4	260	1	-1	-1
1	0	7	5	230	1	-1	-1
1	0	7	6	759	0	-1	-1
1	0	7	8	165	1	-1	-1
1	0	7	9	1239	1	-1	-1
1	0	7	10	769	0	-1	-1
1	0	7	11	200	1	-1	-1
1	0	7	12	305	1	-1	-1
1	0	7	13	3000	-1	-1	-1
1	0	7	14	450	1	-1	-1
1	0	7	15	140	1	-1	-1
1	0	7	16	215	1	-1	-1
1	0	8	0	320	0	-1	-1
1	0	8	1	145	0	-1	-1
1	0	8	2	285	1	-1	-1
1	0	8	3	225	0	-1	-1
1	0	8	4	215	0	-1	-1
1	0	8	5	365	0	-1	-1
1	0	8	6	175	0	-1	-1
1	0	8	7	165	0	-1	-1
1	0	8	9	155	0	-1	-1
1	0	8	10	150	0	-1	-1
1	0	8	11	579	0	-1	-1
1	0	8	12	268	0	-1	-1
1	0	8	13	195	0	-1	-1
1	0	8	14	165	0	-1	-1
1	0	8	15	335	0	-1	-1
1	0	8	16	515	1	-1	-1
1	0	9	0	150	1	-1	-1
1	0	9	1	415	1	-1	-1
1	0	9	2	405	1	-1	-1
1	0	9	3	2085	0	-1	-1
1	0	9	4	200	1	-1	-1
1	0	9	5	665	0	-1	-1
1	0	9	6	630	0	-1	-1
1	0	9	7	3000	-1	-1	-1
1	0	9	8	145	1	-1	-1
1	0	9	10	2330	0	-1	-1
1	0	9	11	150	1	-1	-1
1	0	9	12	157	1	-1	-1
1	0	9	13	645	1	-1	-1
1	0	9	14	295	1	-1	-1
1	0	9	15	150	1	-1	-1
1	0	9	16	174	1	-1	-1
1	0	10	0	210	1	-1	-1
1	0	10	1	185	0	-1	-1
1	0	10	2	395	1	-1	-1
1	0	10	3	530	0	-1	-1
1	0	10	4	225	1	-1	-1
1	0	10	5	280	1	-1	-1
1	0	10	6	240	0	-1	-1
1	0	10	7	330	0	-1	-1
1	0	10	8	160	1	-1	-1
1	0	10	9	223	0	-1	-1
1	0	10	11	340	1	-1	-1
1	0	10	12	200	1	-1	-1
1	0	10	13	275	0	-1	-1
1	0	10	14	290	1	-1	-1
1	0	10	15	160	1	-1	-1
1	0	10	16	196	1	-1	-1
1	0	11	0	300	0	-1	-1
1	0	11	1	155	0	-1	-1
1	0	11	2	525	1	-1	-1
1	0	11	3	320	0	-1	-1
1	0	11	4	320	1	-1	-1
1	0	11	5	370	1	-1	-1
1	0	11	6	145	0	-1	-1
1	0	11	7	355	0	-1	-1
1	0	11	8	275	1	-1	-1
1	0	11	9	165	0	-1	-1
1	0	11	10	135	0	-1	-1
1	0	11	12	245	0	-1	-1
1	0	11	13	265	0	-1	-1
1	0	11	14	190	0	-1	-1
1	0	11	15	285	0	-1	-1
1	0	11	16	330	1	-1	-1
1	0	12	0	235	1	-1	-1
1	0	12	1	170	0	-1	-1
1	0	12	2	660	1	-1	-1
1	0	12	3	335	0	-1	-1
