tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/8x8/basesWorkers8x8A.xml
iterations	2
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	195	0	-1	-1
0	0	0	2	225	0	-1	-1
0	0	0	3	215	0	-1	-1
0	0	0	4	725	1	-1	-1
0	0	0	5	1175	0	-1	-1
0	0	0	6	205	0	-1	-1
0	0	0	7	1185	0	-1	-1
0	0	0	8	210	0	-1	-1
0	0	0	9	235	0	-1	-1
0	0	0	10	185	0	-1	-1
0	0	0	11	1350	0	-1	-1
0	0	0	12	290	0	-1	-1
0	0	0	13	480	0	-1	-1
0	0	0	14	335	0	-1	-1
0	0	0	15	3000	-1	-1	-1
0	0	0	16	266	1	-1	-1
0	0	1	0	240	1	-1	-1
0	0	1	2	639	0	-1	-1
0	0	1	3	540	0	-1	-1
0	0	1	4	250	1	-1	-1
0	0	1	5	300	1	-1	-1
0	0	1	6	482	0	-1	-1
0	0	1	7	255	1	-1	-1
0	0	1	8	470	1	-1	-1
0	0	1	9	438	0	-1	-1
0	0	1	10	382	0	-1	-1
0	0	1	11	240	1	-1	-1
0	0	1	12	3000	-1	-1	-1
0	0	1	13	270	1	-1	-1
0	0	1	14	275	1	-1	-1
0	0	1	15	240	1	-1	-1
0	0	1	16	206	1	-1	-1
0	0	2	0	255	1	-1	-1
0	0	2	1	3000	-1	-1	-1
0	0	2	3	1010	1	-1	-1
0	0	2	4	285	1	-1	-1
0	0	2	5	260	1	-1	-1
0	0	2	6	446	1	-1	-1
0	0	2	7	515	1	-1	-1
0	0	2	8	480	1	-1	-1
0	0	2	9	915	1	-1	-1
0	0	2	10	395	0	-1	-1
0	0	2	11	195	1	-1	-1
0	0	2	12	3000	-1	-1	-1
0	0	2	13	255	1	-1	-1
0	0	2	14	260	1	-1	-1
0	0	2	15	255	1	-1	-1
0	0	2	16	221	1	-1	-1
0	0	3	0	355	1	-1	-1
0	0	3	1	509	1	-1	-1
0	0	3	2	430	1	-1	-1
0	0	3	4	390	1	-1	-1
0	0	3	5	465	1	-1	-1
0	0	3	6	2055	0	-1	-1
0	0	3	7	335	1	-1	-1
0	0	3	8	490	1	-1	-1
0	0	3	9	750	1	-1	-1
0	0	3	10	2935	0	-1	-1
0	0	3	11	255	1	-1	-1
0	0	3	12	330	1	-1	-1
0	0	3	13	355	1	-1	-1
0	0	3	14	370	1	-1	-1
0	0	3	15	375	1	-1	-1
0	0	3	16	310	1	-1	-1
0	0	4	0	440	1	-1	-1
0	0	4	1	235	0	-1	-1
0	0	4	2	275	0	-1	-1
0	0	4	3	515	0	-1	-1
0	0	4	5	1110	0	-1	-1
0	0	4	6	260	0	-1	-1
0	0	4	7	630	0	-1	-1
0	0	4	8	430	0	-1	-1
0	0	4	9	480	0	-1	-1
0	0	4	10	225	0	-1	-1
0	0	4	11	440	1	-1	-1
0	0	4	12	185	1	-1	-1
0	0	4	13	630	0	-1	-1
0	0	4	14	505	0	-1	-1
0	0	4	15	440	1	-1	-1
0	0	4	16	386	1	-1	-1
0	0	5	0	1160	1	-1	-1
0	0	5	1	275	0	-1	-1
0	0	5	2	360	0	-1	-1
0	0	5	3	390	0	-1	-1
0	0	5	4	735	1	-1	-1
0	0	5	6	335	0	-1	-1
0	0	5	7	1215	0	-1	-1
0	0	5	8	490	1	-1	-1
0	0	5	9	520	0	-1	-1
0	0	5	10	225	0	-1	-1
0	0	5	11	1195	1	-1	-1
0	0	5	12	410	0	-1	-1
0	0	5	13	555	0	-1	-1
0	0	5	14	520	0	-1	-1
0	0	5	15	1125	1	-1	-1
0	0	5	16	515	1	-1	-1
0	0	6	0	200	1	-1	-1
0	0	6	1	477	0	-1	-1
0	0	6	2	485	0	-1	-1
0	0	6	3	445	0	-1	-1
0	0	6	4	245	1	-1	-1
0	0	6	5	220	1	-1	-1
0	0	6	7	220	1	-1	-1
0	0	6	8	330	1	-1	-1
0	0	6	9	450	0	-1	-1
0	0	6	10	345	0	-1	-1
0	0	6	11	200	1	-1	-1
0	0	6	12	235	1	-1	-1
0	0	6	13	235	1	-1	-1
0	0	6	14	215	1	-1	-1
0	0	6	15	200	1	-1	-1
0	0	6	16	225	1	-1	-1
0	0	7	0	1380	1	-1	-1
0	0	7	1	195	0	-1	-1
0	0	7	2	697	0	-1	-1
0	0	7	3	605	0	-1	-1
0	0	7	4	455	1	-1	-1
0	0	7	5	1130	0	-1	-1
0	0	7	6	245	0	-1	-1
0	0	7	8	3000	-1	-1	-1
0	0	7	9	275	0	-1	-1
0	0	7	10	180	0	-1	-1
0	0	7	11	1290	0	-1	-1
0	0	7	12	390	0	-1	-1
0	0	7	13	270	0	-1	-1
0	0	7	14	430	1	-1	-1
0	0	7	15	3000	-1	-1	-1
0	0	7	16	842	1	-1	-1
0	0	8	0	310	1	-1	-1
0	0	8	1	285	0	-1	-1
0	0	8	2	430	0	-1	-1
0	0	8	3	476	0	-1	-1
0	0	8	4	653	1	-1	-1
0	0	8	5	480	1	-1	-1
0	0	8	6	395	0	-1	-1
0	0	8	7	210	1	-1	-1
0	0	8	9	655	0	-1	-1
0	0	8	10	275	0	-1	-1
0	0	8	11	310	1	-1	-1
0	0	8	12	410	0	-1	-1
0	0	8	13	420	1	-1	-1
0	0	8	14	325	1	-1	-1
0	0	8	15	310	1	-1	-1
0	0	8	16	278	1	-1	-1
0	0	9	0	715	0	-1	-1
0	0	9	1	600	1	-1	-1
0	0	9	2	1010	0	-1	-1
0	0	9	3	605	0	-1	-1
0	0	9	4	470	1	-1	-1
0	0	9	5	715	0	-1	-1
0	0	9	6	500	0	-1	-1
0	0	9	7	750	0	-1	-1
0	0	9	8	455	1	-1	-1
0	0	9	10	460	0	-1	-1
0	0	9	11	685	0	-1	-1
0	0	9	12	390	0	-1	-1
0	0	9	13	675	1	-1	-1
0	0	9	14	605	1	0	-1
0	0	9	15	705	0	-1	-1
0	0	9	16	225	1	-1	-1
0	0	10	0	510	1	-1	-1
0	0	10	1	232	0	-1	-1
0	0	10	2	182	0	-1	-1
0	0	10	3	335	0	-1	-1
0	0	10	4	678	1	-1	-1
0	0	10	5	557	0	-1	-1
0	0	10	6	250	0	-1	-1
0	0	10	7	530	0	-1	-1
0	0	10	8	260	0	-1	-1
0	0	10	9	265	0	-1	-1
0	0	10	11	498	0	-1	-1
0	0	10	12	306	0	-1	-1
0	0	10	13	209	0	-1	-1
0	0	10	14	310	0	-1	-1
0	0	10	15	396	0	-1	-1
0	0	10	16	225	1	-1	-1
0	0	11	0	1360	1	-1	-1
0	0	11	1	195	0	-1	-1
0	0	11	2	275	0	-1	-1
0	0	11	3	495	0	-1	-1
0	0	11	4	715	1	-1	-1
0	0	11	5	1180	0	-1	-1
0	0	11	6	205	0	-1	-1
0	0	11	7	1260	1	-1	-1
0	0	11	8	275	0	-1	-1
0	0	11	9	235	0	-1	-1
0	0	11	10	185	0	-1	-1
0	0	11	12	3000	-1	-1	-1
0	0	11	13	480	0	-1	-1
0	0	11	14	485	0	-1	-1
0	0	11	15	1395	1	-1	-1
0	0	11	16	292	1	-1	-1
0	0	12	0	470	1	-1	-1
0	0	12	1	3000	-1	-1	-1
0	0	12	2	230	0	-1	-1
0	0	12	3	315	0	-1	-1
0	0	12	4	295	0	-1	-1
0	0	12	5	430	1	-1	-1
0	0	12	6	255	0	-1	-1
0	0	12	7	165	0	-1	-1
0	0	12	8	300	0	-1	-1
0	0	12	9	355	0	-1	-1
0	0	12	10	145	0	-1	-1
0	0	12	11	470	1	-1	-1
0	0	12	13	250	0	-1	-1
0	0	12	14	455	1	-1	-1
0	0	12	15	440	1	-1	-1
0	0	12	16	325	1	-1	-1
0	0	13	0	400	1	-1	-1
0	0	13	1	230	0	-1	-1
0	0	13	2	310	0	-1	-1
0	0	13	3	250	0	-1	-1
0	0	13	4	640	1	-1	-1
