tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/16x16/TwoBasesBarracks16x16.xml
iterations	2
maxGameLength	4000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	521	1	-1	-1
0	0	0	2	3865	0	-1	-1
0	0	0	3	940	0	-1	-1
0	0	0	4	585	1	-1	-1
0	0	0	5	460	1	-1	-1
0	0	0	6	460	0	-1	-1
0	0	0	7	935	0	-1	-1
0	0	0	8	435	1	-1	-1
0	0	0	9	705	1	-1	-1
0	0	0	10	365	0	-1	-1
0	0	0	11	1730	0	-1	-1
0	0	0	12	130	0	1	-1
0	0	0	13	635	1	-1	-1
0	0	0	14	515	1	-1	-1
0	0	0	15	521	1	-1	-1
0	0	0	16	365	0	-1	-1
0	0	1	0	528	0	-1	-1
0	0	1	2	399	0	-1	-1
0	0	1	3	612	0	-1	-1
0	0	1	4	447	1	-1	-1
0	0	1	5	1026	0	-1	-1
0	0	1	6	479	0	-1	-1
0	0	1	7	582	0	-1	-1
0	0	1	8	351	1	-1	-1
0	0	1	9	1665	1	-1	-1
0	0	1	10	300	0	-1	-1
0	0	1	11	523	0	-1	-1
0	0	1	12	110	0	1	-1
0	0	1	13	541	0	-1	-1
0	0	1	14	915	1	-1	-1
0	0	1	15	805	1	-1	-1
0	0	1	16	300	0	-1	-1
0	0	2	0	3630	0	-1	-1
0	0	2	1	707	1	-1	-1
0	0	2	3	1925	0	-1	-1
0	0	2	4	755	1	-1	-1
0	0	2	5	1363	1	-1	-1
0	0	2	6	313	1	-1	-1
0	0	2	7	2505	1	-1	-1
0	0	2	8	655	1	-1	-1
0	0	2	9	995	1	-1	-1
0	0	2	10	1420	0	-1	-1
0	0	2	11	2785	0	-1	-1
0	0	2	12	130	0	1	-1
0	0	2	13	585	1	-1	-1
0	0	2	14	817	1	-1	-1
0	0	2	15	692	1	-1	-1
0	0	2	16	820	0	-1	-1
0	0	3	0	715	1	-1	-1
0	0	3	1	435	1	-1	-1
0	0	3	2	1159	1	-1	-1
0	0	3	4	375	1	-1	-1
0	0	3	5	544	1	-1	-1
0	0	3	6	4000	-1	-1	-1
0	0	3	7	368	1	-1	-1
0	0	3	8	385	1	-1	-1
0	0	3	9	560	1	-1	-1
0	0	3	10	3395	0	-1	-1
0	0	3	11	455	1	-1	-1
0	0	3	12	130	0	1	-1
0	0	3	13	475	1	-1	-1
0	0	3	14	465	1	-1	-1
0	0	3	15	342	1	-1	-1
0	0	3	16	3770	0	-1	-1
0	0	4	0	700	0	-1	-1
0	0	4	1	500	0	-1	-1
0	0	4	2	650	0	-1	-1
0	0	4	3	605	0	-1	-1
0	0	4	5	485	0	-1	-1
0	0	4	6	455	0	-1	-1
0	0	4	7	415	0	-1	-1
0	0	4	8	447	1	-1	-1
0	0	4	9	1220	0	-1	-1
0	0	4	10	400	0	-1	-1
0	0	4	11	540	0	-1	-1
0	0	4	12	130	0	1	-1
0	0	4	13	705	0	-1	-1
0	0	4	14	635	0	-1	-1
0	0	4	15	620	0	-1	-1
0	0	4	16	400	0	-1	-1
0	0	5	0	512	0	-1	-1
0	0	5	1	848	1	-1	-1
0	0	5	2	755	0	-1	-1
0	0	5	3	505	0	-1	-1
0	0	5	4	469	1	-1	-1
0	0	5	6	325	0	-1	-1
0	0	5	7	535	0	-1	-1
0	0	5	8	941	1	-1	-1
0	0	5	9	814	0	-1	-1
0	0	5	10	291	0	-1	-1
0	0	5	11	565	0	-1	-1
0	0	5	12	110	0	1	-1
0	0	5	13	587	0	-1	-1
0	0	5	14	726	1	-1	-1
0	0	5	15	1499	1	-1	-1
0	0	5	16	291	0	-1	-1
0	0	6	0	725	0	-1	-1
0	0	6	1	463	1	-1	-1
0	0	6	2	1310	1	-1	-1
0	0	6	3	425	0	-1	-1
0	0	6	4	411	1	-1	-1
0	0	6	5	373	1	-1	-1
0	0	6	7	729	1	-1	-1
0	0	6	8	450	1	-1	-1
0	0	6	9	715	1	-1	-1
0	0	6	10	4000	-1	-1	-1
0	0	6	11	699	0	-1	-1
0	0	6	12	110	0	1	-1
0	0	6	13	475	1	-1	-1
0	0	6	14	640	1	-1	-1
0	0	6	15	387	1	-1	-1
0	0	6	16	414	0	-1	-1
0	0	7	0	1078	0	-1	-1
0	0	7	1	597	1	-1	-1
0	0	7	2	1806	0	-1	-1
0	0	7	3	530	0	-1	-1
0	0	7	4	375	1	-1	-1
0	0	7	5	363	1	-1	-1
0	0	7	6	882	0	-1	-1
0	0	7	8	483	1	-1	-1
0	0	7	9	740	1	-1	-1
0	0	7	10	398	0	-1	-1
0	0	7	11	841	1	-1	-1
0	0	7	12	110	0	1	-1
0	0	7	13	765	1	-1	-1
0	0	7	14	836	0	-1	-1
0	0	7	15	605	1	-1	-1
0	0	7	16	398	0	-1	-1
0	0	8	0	435	0	-1	-1
0	0	8	1	376	0	-1	-1
0	0	8	2	600	0	-1	-1
0	0	8	3	425	0	-1	-1
0	0	8	4	540	0	-1	-1
0	0	8	5	530	0	-1	-1
0	0	8	6	840	0	-1	-1
0	0	8	7	420	0	-1	-1
0	0	8	9	475	0	-1	-1
0	0	8	10	342	0	-1	-1
0	0	8	11	416	0	-1	-1
0	0	8	12	110	0	1	-1
0	0	8	13	357	0	-1	-1
0	0	8	14	374	0	-1	-1
0	0	8	15	490	0	-1	-1
0	0	8	16	350	0	-1	-1
0	0	9	0	645	0	-1	-1
0	0	9	1	532	1	-1	-1
0	0	9	2	740	0	-1	-1
0	0	9	3	475	0	-1	-1
0	0	9	4	980	0	-1	-1
0	0	9	5	729	1	-1	-1
0	0	9	6	435	0	-1	-1
0	0	9	7	530	0	-1	-1
0	0	9	8	405	1	-1	-1
0	0	9	10	400	0	-1	-1
0	0	9	11	1095	0	-1	-1
0	0	9	12	110	0	1	-1
0	0	9	13	665	1	-1	-1
0	0	9	14	755	1	-1	-1
0	0	9	15	748	1	-1	-1
0	0	9	16	400	0	-1	-1
0	0	10	0	590	1	-1	-1
0	0	10	1	542	1	-1	-1
0	0	10	2	755	1	0	-1
0	0	10	3	550	0	-1	-1
0	0	10	4	480	1	-1	-1
0	0	10	5	571	1	-1	-1
0	0	10	6	455	0	-1	-1
0	0	10	7	450	1	0	-1
0	0	10	8	366	1	-1	-1
0	0	10	9	565	1	-1	-1
0	0	10	11	575	1	-1	-1
0	0	10	12	130	0	1	-1
0	0	10	13	545	1	-1	-1
0	0	10	14	567	1	0	-1
0	0	10	15	547	1	-1	-1
0	0	10	16	380	0	-1	-1
0	0	11	0	1790	0	-1	-1
0	0	11	1	524	1	-1	-1
0	0	11	2	4000	-1	-1	-1
0	0	11	3	785	0	-1	-1
0	0	11	4	520	1	-1	-1
0	0	11	5	519	1	-1	-1
0	0	11	6	341	0	-1	-1
0	0	11	7	455	0	-1	-1
0	0	11	8	471	1	-1	-1
0	0	11	9	975	1	-1	-1
0	0	11	10	300	0	-1	-1
0	0	11	12	130	0	1	-1
0	0	11	13	790	0	-1	-1
0	0	11	14	785	0	-1	-1
0	0	11	15	524	1	-1	-1
0	0	11	16	300	0	-1	-1
0	0	12	0	426	0	-1	-1
0	0	12	1	1064	0	-1	-1
0	0	12	2	521	0	-1	-1
