tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/16x16/basesWorkers16x16A.xml
iterations	2
maxGameLength	4000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	736	1	-1	-1
0	0	0	2	965	0	-1	-1
0	0	0	3	695	0	-1	-1
0	0	0	4	1045	1	-1	-1
0	0	0	5	729	1	-1	-1
0	0	0	6	607	1	-1	-1
0	0	0	7	485	0	-1	-1
0	0	0	8	745	1	-1	-1
0	0	0	9	855	0	-1	-1
0	0	0	10	345	0	-1	-1
0	0	0	11	2865	1	-1	-1
0	0	0	12	355	0	-1	-1
0	0	0	13	645	1	-1	-1
0	0	0	14	595	0	-1	-1
0	0	0	15	385	0	-1	-1
0	0	0	16	527	1	-1	-1
0	0	1	0	777	0	-1	-1
0	0	1	2	1442	0	-1	-1
0	0	1	3	764	0	-1	-1
0	0	1	4	615	1	-1	-1
0	0	1	5	959	1	-1	-1
0	0	1	6	825	0	-1	-1
0	0	1	7	842	0	-1	-1
0	0	1	8	748	0	-1	-1
0	0	1	9	1229	1	-1	-1
0	0	1	10	500	0	-1	-1
0	0	1	11	732	0	-1	-1
0	0	1	12	593	0	-1	-1
0	0	1	13	1115	1	-1	-1
0	0	1	14	605	0	-1	-1
0	0	1	15	2215	1	-1	-1
0	0	1	16	806	1	-1	-1
0	0	2	0	1190	1	-1	-1
0	0	2	1	1683	1	-1	-1
0	0	2	3	1165	0	-1	-1
0	0	2	4	1185	1	-1	-1
0	0	2	5	1161	1	-1	-1
0	0	2	6	4000	-1	-1	-1
