tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/24x24/basesWorkers24x24A.xml
iterations	1
maxGameLength	5000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	1024	1	-1	-1
0	0	0	2	1595	1	-1	-1
0	0	0	3	780	0	-1	-1
0	0	0	4	1215	1	-1	-1
0	0	0	5	1285	1	-1	-1
0	0	0	6	1090	0	-1	-1
0	0	0	7	955	1	-1	-1
0	0	0	8	845	1	-1	-1
0	0	0	9	1275	1	-1	-1
0	0	0	10	505	0	-1	-1
0	0	0	11	3670	0	-1	-1
0	0	0	12	585	0	-1	-1
0	0	0	13	975	1	-1	-1
0	0	0	14	1786	1	-1	-1
0	0	0	15	1104	1	-1	-1
0	0	0	16	1306	1	-1	-1
0	0	1	0	1000	0	-1	-1
0	0	1	2	1615	0	-1	-1
0	0	1	3	855	0	-1	-1
0	0	1	4	899	1	-1	-1
0	0	1	5	1273	0	-1	-1
0	0	1	6	1675	0	-1	-1
0	0	1	7	2693	1	-1	-1
0	0	1	8	1349	0	-1	-1
0	0	1	9	1920	1	-1	-1
0	0	1	10	628	0	-1	-1
0	0	1	11	892	0	-1	-1
0	0	1	12	691	0	-1	-1
0	0	1	13	1495	1	-1	-1
0	0	1	14	2404	0	-1	-1
0	0	1	15	1885	1	-1	-1
0	0	1	16	1207	0	-1	-1
0	0	2	0	4975	0	-1	-1
0	0	2	1	1662	1	-1	-1
0	0	2	3	2745	0	-1	-1
0	0	2	4	1105	1	-1	-1
0	0	2	5	1865	1	-1	-1
0	0	2	6	5000	-1	-1	-1
0	0	2	7	1502	1	-1	-1
0	0	2	8	2080	1	-1	-1
0	0	2	9	2300	1	-1	-1
0	0	2	10	3905	0	-1	-1
0	0	2	11	5000	-1	-1	-1
0	0	2	12	3490	0	-1	-1
0	0	2	13	1430	1	-1	-1
0	0	2	14	1620	1	-1	-1
0	0	2	15	1795	1	-1	-1
0	0	2	16	2185	1	-1	-1
0	0	3	0	850	1	-1	-1
0	0	3	1	957	1	-1	-1
0	0	3	2	1780	1	-1	-1
0	0	3	4	905	1	-1	-1
0	0	3	5	1185	1	-1	-1
0	0	3	6	5000	-1	-1	-1
0	0	3	7	1275	1	-1	-1
0	0	3	8	765	1	-1	-1
0	0	3	9	1135	1	-1	-1
0	0	3	10	5000	-1	-1	-1
0	0	3	11	635	1	-1	-1
