tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/basesWorkers32x32A.xml
iterations	1
maxGameLength	6000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	1209	1	-1	-1
0	0	0	2	1620	1	-1	-1
0	0	0	3	1185	0	-1	-1
0	0	0	4	1425	1	-1	-1
0	0	0	5	2890	0	-1	-1
0	0	0	6	1080	1	-1	-1
0	0	0	7	1005	1	-1	-1
0	0	0	8	1055	1	-1	-1
0	0	0	9	1895	1	-1	-1
0	0	0	10	665	0	-1	-1
0	0	0	11	3715	0	-1	-1
0	0	0	12	695	0	1	-1
0	0	0	13	1385	0	-1	-1
0	0	0	14	1555	1	-1	-1
0	0	0	15	1358	1	-1	-1
0	0	0	16	1837	1	-1	-1
0	0	1	0	1025	0	-1	-1
0	0	1	2	2790	0	-1	-1
0	0	1	3	993	0	-1	-1
0	0	1	4	1055	1	-1	-1
0	0	1	5	2270	1	-1	-1
0	0	1	6	2219	0	-1	-1
0	0	1	7	6000	-1	-1	-1
0	0	1	8	1084	0	-1	-1
0	0	1	9	2215	1	-1	-1
0	0	1	10	756	0	-1	-1
0	0	1	11	1017	0	-1	-1
0	0	1	12	805	0	-1	-1
0	0	1	13	1126	0	-1	-1
0	0	1	14	1725	1	-1	-1
0	0	1	15	2176	1	-1	-1
0	0	1	16	1500	0	-1	-1
0	0	2	0	1770	0	-1	-1
0	0	2	1	1845	1	-1	-1
0	0	2	3	5239	0	-1	-1
0	0	2	4	1215	1	-1	-1
0	0	2	5	2465	1	-1	-1
0	0	2	6	6000	-1	-1	-1
0	0	2	7	4614	1	-1	-1
0	0	2	8	2745	1	-1	-1
0	0	2	9	6000	-1	-1	-1
0	0	2	10	6000	-1	-1	-1
0	0	2	11	6000	-1	-1	-1
0	0	2	12	3910	1	-1	-1
0	0	2	13	6000	-1	-1	-1
0	0	2	14	2795	1	-1	-1
0	0	2	15	2235	1	-1	-1
0	0	2	16	1735	1	-1	-1
0	0	3	0	825	1	-1	-1
0	0	3	1	1022	1	-1	-1
0	0	3	2	6000	-1	-1	-1
0	0	3	4	1120	1	-1	-1
0	0	3	5	1275	1	-1	-1
0	0	3	6	6000	-1	-1	-1
0	0	3	7	1645	1	-1	-1
0	0	3	8	795	1	-1	-1
0	0	3	9	1675	1	-1	-1
0	0	3	10	6000	-1	-1	-1
0	0	3	11	1880	1	-1	-1
0	0	3	12	6000	-1	-1	-1
0	0	3	13	1010	1	-1	-1
0	0	3	14	1195	1	-1	-1
0	0	3	15	1505	1	-1	-1
0	0	3	16	1525	1	-1	-1
0	0	4	0	1745	0	-1	-1
0	0	4	1	1065	0	-1	-1
0	0	4	2	1786	0	-1	-1
0	0	4	3	915	0	-1	-1
0	0	4	5	1305	0	-1	-1
0	0	4	6	1025	0	-1	-1
0	0	4	7	985	0	-1	-1
0	0	4	8	1276	0	-1	-1
0	0	4	9	2805	0	-1	-1
0	0	4	10	870	0	-1	-1
0	0	4	11	1085	0	-1	-1
0	0	4	12	985	0	-1	-1
0	0	4	13	1000	0	-1	-1
0	0	4	14	2015	0	-1	-1
0	0	4	15	1235	0	-1	-1
0	0	4	16	1745	0	-1	-1
0	0	5	0	1420	0	-1	-1
0	0	5	1	1540	0	-1	-1
0	0	5	2	3810	0	-1	-1
0	0	5	3	1150	0	-1	-1
0	0	5	4	2705	1	-1	-1
0	0	5	6	1755	0	-1	-1
0	0	5	7	1395	0	-1	-1
0	0	5	8	1795	0	-1	-1
0	0	5	9	2655	1	-1	-1
0	0	5	10	1000	0	-1	-1
0	0	5	11	1285	0	1	-1
0	0	5	12	1130	0	-1	-1
0	0	5	13	1430	0	-1	-1
0	0	5	14	1805	1	-1	-1
0	0	5	15	2015	0	-1	-1
0	0	5	16	2900	0	-1	-1
0	0	6	0	1955	1	-1	-1
0	0	6	1	1301	1	-1	-1
0	0	6	2	6000	-1	-1	-1
0	0	6	3	6000	-1	-1	-1
0	0	6	4	1105	1	-1	-1
0	0	6	5	2460	1	-1	-1
0	0	6	7	1414	1	-1	-1
0	0	6	8	2069	1	-1	-1
0	0	6	9	1450	1	-1	-1
0	0	6	10	779	0	-1	-1
0	0	6	11	6000	-1	-1	-1
0	0	6	12	6000	-1	-1	-1
0	0	6	13	1136	1	-1	-1
0	0	6	14	2205	1	-1	-1
0	0	6	15	1754	1	-1	-1
0	0	6	16	6000	-1	-1	-1
0	0	7	0	2088	0	-1	-1
0	0	7	1	6000	-1	-1	-1
0	0	7	2	6000	-1	-1	-1
0	0	7	3	2074	0	-1	-1
0	0	7	4	1108	1	-1	-1
0	0	7	5	3224	1	-1	-1
0	0	7	6	1879	0	-1	-1
0	0	7	8	6000	-1	-1	-1
0	0	7	9	1798	1	-1	-1
0	0	7	10	923	0	-1	-1
0	0	7	11	1299	0	1	-1
0	0	7	12	1048	0	-1	-1
0	0	7	13	1146	0	-1	-1
0	0	7	14	2765	1	-1	-1
0	0	7	15	3720	1	-1	-1
0	0	7	16	3683	0	-1	-1
0	0	8	0	1055	0	-1	-1
0	0	8	1	1241	1	-1	-1
0	0	8	2	2188	0	-1	-1
0	0	8	3	946	0	-1	-1
0	0	8	4	1432	1	-1	-1
0	0	8	5	2920	1	-1	-1
0	0	8	6	1495	0	-1	-1
0	0	8	7	2589	0	-1	-1
0	0	8	9	2680	1	-1	-1
0	0	8	10	745	0	-1	-1
0	0	8	11	1115	0	-1	-1
0	0	8	12	720	0	1	-1
0	0	8	13	1013	0	-1	-1
0	0	8	14	2252	1	-1	-1
0	0	8	15	2137	1	-1	-1
0	0	8	16	2087	0	-1	-1
0	0	9	0	3020	0	-1	-1
0	0	9	1	1537	0	-1	-1
0	0	9	2	3535	0	-1	-1
0	0	9	3	1295	0	-1	-1
0	0	9	4	2605	1	-1	-1
0	0	9	5	1910	0	-1	-1
0	0	9	6	1480	0	-1	-1
0	0	9	7	1232	0	-1	-1
0	0	9	8	1456	0	-1	-1
0	0	9	10	970	0	-1	-1
0	0	9	11	1535	0	-1	-1
0	0	9	12	1040	0	-1	-1
0	0	9	13	1790	0	-1	-1
0	0	9	14	2355	0	-1	-1
0	0	9	15	2740	1	-1	-1
0	0	9	16	2965	0	-1	-1
0	0	10	0	1045	0	-1	-1
0	0	10	1	1955	1	0	-1
0	0	10	2	1326	0	-1	-1
0	0	10	3	945	0	-1	-1
0	0	10	4	1320	1	-1	-1
0	0	10	5	1508	0	-1	-1
0	0	10	6	1175	0	-1	-1
0	0	10	7	1234	0	-1	-1
0	0	10	8	1500	1	-1	-1
0	0	10	9	2262	0	-1	-1
0	0	10	11	994	0	-1	-1
0	0	10	12	788	0	-1	-1
0	0	10	13	765	0	-1	-1
0	0	10	14	1679	1	-1	-1
0	0	10	15	1228	0	-1	-1
0	0	10	16	1805	0	-1	-1
0	0	11	0	3565	1	-1	-1
0	0	11	1	1011	1	-1	-1
0	0	11	2	6000	-1	-1	-1
0	0	11	3	820	0	-1	-1
0	0	11	4	1190	1	-1	-1
0	0	11	5	4225	1	0	-1
0	0	11	6	941	1	-1	-1
0	0	11	7	2470	1	-1	-1
0	0	11	8	940	1	-1	-1
0	0	11	9	1610	1	-1	-1
0	0	11	10	665	0	-1	-1
0	0	11	12	1245	0	-1	-1
0	0	11	13	1130	1	-1	-1
0	0	11	14	1031	1	-1	-1
0	0	11	15	1041	1	-1	-1
0	0	11	16	1610	1	-1	-1
0	0	12	0	725	1	-1	-1
0	0	12	1	1524	1	0	-1
0	0	12	2	1651	1	0	-1
0	0	12	3	6000	-1	-1	-1
0	0	12	4	911	1	0	-1
0	0	12	5	2342	0	-1	-1
0	0	12	6	6000	-1	-1	-1
0	0	12	7	3061	1	0	-1
0	0	12	8	1309	1	-1	-1
0	0	12	9	1941	1	0	-1
0	0	12	10	987	0	-1	-1
0	0	12	11	825	1	-1	-1
0	0	12	13	1264	0	-1	-1
0	0	12	14	1230	1	0	-1
0	0	12	15	1520	1	0	-1
0	0	12	16	2300	1	0	-1
0	0	13	0	890	1	-1	-1
0	0	13	1	940	1	-1	-1
0	0	13	2	6000	-1	-1	-1
0	0	13	3	1115	0	-1	-1
0	0	13	4	1020	1	-1	-1
0	0	13	5	1570	1	-1	-1
0	0	13	6	1215	0	-1	-1
0	0	13	7	1201	1	-1	-1
0	0	13	8	1026	1	-1	-1
0	0	13	9	1560	1	-1	-1
0	0	13	10	600	0	-1	-1
0	0	13	11	2055	0	-1	-1
0	0	13	12	670	0	1	-1
0	0	13	14	813	1	-1	-1
0	0	13	15	993	1	-1	-1
0	0	13	16	1494	1	-1	-1
0	0	14	0	2480	0	-1	-1
0	0	14	1	1665	0	-1	-1
0	0	14	2	2485	0	-1	-1
0	0	14	3	1334	0	-1	-1
0	0	14	4	1330	1	-1	-1
0	0	14	5	2165	1	-1	-1
0	0	14	6	1591	0	-1	-1
0	0	14	7	1434	0	-1	-1
0	0	14	8	2695	0	-1	-1
0	0	14	9	2560	1	-1	-1
0	0	14	10	938	0	-1	-1
0	0	14	11	1283	0	1	-1
0	0	14	12	880	0	1	-1
0	0	14	13	1535	0	-1	-1
0	0	14	15	2935	0	-1	-1
0	0	14	16	2280	0	-1	-1
0	0	15	0	1332	0	-1	-1
0	0	15	1	3303	0	-1	-1
0	0	15	2	2200	0	-1	-1
0	0	15	3	1501	0	-1	-1
0	0	15	4	1061	1	-1	-1
0	0	15	5	3283	1	-1	-1
0	0	15	6	1895	0	-1	-1
