tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/chambers32x32.xml
iterations	1
maxGameLength	6000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	1293	1	-1	-1
0	0	0	2	6000	-1	-1	-1
0	0	0	3	1010	0	-1	-1
0	0	0	4	1620	1	-1	-1
0	0	0	5	1435	1	-1	-1
0	0	0	6	675	0	-1	-1
0	0	0	7	6000	-1	-1	-1
0	0	0	8	1133	1	-1	-1
0	0	0	9	1300	0	-1	-1
0	0	0	10	655	0	-1	-1
0	0	0	11	1395	0	-1	-1
0	0	0	12	1396	1	-1	-1
0	0	0	13	1085	0	-1	-1
0	0	0	14	2010	0	-1	-1
0	0	0	15	1356	1	-1	-1
0	0	0	16	2010	0	-1	-1
0	0	1	0	1244	0	-1	-1
0	0	1	2	3992	0	-1	-1
0	0	1	3	1109	0	-1	-1
0	0	1	4	1345	1	-1	-1
0	0	1	5	6000	-1	-1	-1
0	0	1	6	798	0	-1	-1
0	0	1	7	6000	-1	-1	-1
0	0	1	8	1097	0	-1	-1
0	0	1	9	2521	1	-1	-1
0	0	1	10	796	0	-1	-1
0	0	1	11	1225	0	-1	-1
0	0	1	12	1297	0	-1	-1
0	0	1	13	1175	0	-1	-1
0	0	1	14	1597	0	-1	-1
0	0	1	15	4575	1	-1	-1
0	0	1	16	1559	0	-1	-1
0	0	2	0	6000	-1	-1	-1
0	0	2	1	6000	-1	-1	-1
0	0	2	3	6000	-1	-1	-1
0	0	2	4	1425	1	-1	-1
0	0	2	5	1860	1	-1	-1
0	0	2	6	6000	-1	-1	-1
0	0	2	7	2826	1	-1	-1
0	0	2	8	2231	1	-1	-1
0	0	2	9	2585	1	-1	-1
0	0	2	10	6000	-1	-1	-1
0	0	2	11	6000	-1	-1	-1
0	0	2	12	6000	-1	-1	-1
0	0	2	13	6000	-1	-1	-1
0	0	2	14	3627	1	-1	-1
0	0	2	15	4155	1	-1	-1
0	0	2	16	6000	-1	-1	-1
0	0	3	0	800	1	-1	-1
0	0	3	1	983	1	-1	-1
0	0	3	2	6000	-1	-1	-1
0	0	3	4	1070	1	-1	-1
0	0	3	5	1095	1	-1	-1
0	0	3	6	6000	-1	-1	-1
0	0	3	7	2329	1	-1	-1
0	0	3	8	820	1	-1	-1
0	0	3	9	1350	1	-1	-1
0	0	3	10	6000	-1	-1	-1
0	0	3	11	895	1	-1	-1
0	0	3	12	5124	1	-1	-1
0	0	3	13	6000	-1	-1	-1
0	0	3	14	925	1	-1	-1
0	0	3	15	3525	1	-1	-1
0	0	3	16	1245	1	-1	-1
0	0	4	0	1345	0	-1	-1
0	0	4	1	1050	0	-1	-1
0	0	4	2	1040	0	-1	-1
0	0	4	3	1185	0	-1	-1
0	0	4	5	1310	1	-1	-1
0	0	4	6	1030	0	-1	-1
0	0	4	7	1048	0	-1	-1
0	0	4	8	1160	0	-1	-1
0	0	4	9	2780	0	-1	-1
0	0	4	10	920	0	-1	-1
0	0	4	11	1745	0	-1	-1
0	0	4	12	1147	0	-1	-1
0	0	4	13	1000	0	-1	-1
0	0	4	14	1166	0	-1	-1
0	0	4	15	1055	0	-1	-1
0	0	4	16	1525	0	-1	-1
0	0	5	0	1245	0	-1	-1
0	0	5	1	1440	0	-1	-1
0	0	5	2	1280	0	-1	-1
0	0	5	3	1105	0	-1	-1
0	0	5	4	1480	1	-1	-1
0	0	5	6	1090	0	-1	-1
0	0	5	7	1340	0	-1	-1
0	0	5	8	1185	0	-1	-1
0	0	5	9	2365	0	-1	-1
0	0	5	10	960	0	-1	-1
0	0	5	11	1535	0	-1	-1
0	0	5	12	2225	0	-1	-1
