tournaments.RoundRobinTournament
AIs
	POWorkerRush(AStarPathFinding)
	POLightRush(AStarPathFinding)
	NaiveMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	mayari{AStarPathFinding}
	2L
	Predator
	NIlSiBot(GreedyPathFinding)
	ObiBotKenobi
	Ragnar
	myBot
	MyMicroRtsBot(AStarPathFinding)
	SaveTheBeesV4(AStarPathFinding)
	sophia
	bRHEAdBot
	Aggrobot(AStarPathFinding)
	RAISocketAI
maps
	maps/itsNotSafe.xml
iterations	1
maxGameLength	4000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	415	1	-1	-1
0	0	0	2	265	1	-1	-1
0	0	0	3	545	0	-1	-1
0	0	0	4	510	1	-1	-1
0	0	0	5	900	1	-1	-1
0	0	0	6	660	0	-1	-1
0	0	0	7	4000	-1	-1	-1
0	0	0	8	685	1	-1	-1
0	0	0	9	765	1	-1	-1
0	0	0	10	325	0	-1	-1
0	0	0	11	385	1	-1	-1
0	0	0	12	513	1	-1	-1
0	0	0	13	435	1	-1	-1
0	0	0	14	805	0	-1	-1
0	0	0	15	530	1	-1	-1
0	0	0	16	3865	0	-1	-1
0	0	1	0	409	0	-1	-1
0	0	1	2	300	1	-1	-1
0	0	1	3	423	0	-1	-1
0	0	1	4	505	1	-1	-1
0	0	1	5	500	0	-1	-1
0	0	1	6	300	0	-1	-1
0	0	1	7	556	0	-1	-1
0	0	1	8	4000	-1	-1	-1
0	0	1	9	492	0	-1	-1
0	0	1	10	288	0	-1	-1
0	0	1	11	633	0	-1	-1
0	0	1	12	870	0	1	-1
0	0	1	13	705	0	-1	-1
0	0	1	14	615	0	-1	-1
0	0	1	15	608	0	-1	-1
0	0	1	16	608	0	-1	-1
0	0	2	0	245	0	-1	-1
0	0	2	1	265	0	-1	-1
0	0	2	3	4000	-1	-1	-1
0	0	2	4	4000	-1	-1	-1
0	0	2	5	4000	-1	-1	-1
0	0	2	6	2205	0	-1	-1
0	0	2	7	325	0	-1	-1
0	0	2	8	2775	0	-1	-1
0	0	2	9	4000	-1	-1	-1
0	0	2	10	4000	-1	-1	-1
0	0	2	11	2585	0	-1	-1
0	0	2	12	867	1	-1	-1
0	0	2	13	775	0	-1	-1
0	0	2	14	985	1	-1	-1
0	0	2	15	335	0	-1	-1
0	0	2	16	320	0	-1	-1
0	0	3	0	745	0	-1	-1
0	0	3	1	599	1	-1	-1
0	0	3	2	670	1	-1	-1
0	0	3	4	395	1	-1	-1
0	0	3	5	480	1	-1	-1
0	0	3	6	4000	-1	-1	-1
0	0	3	7	4000	-1	-1	-1
0	0	3	8	421	1	-1	-1
0	0	3	9	810	1	-1	-1
0	0	3	10	4000	-1	-1	-1
0	0	3	11	375	1	-1	-1
0	0	3	12	826	1	-1	-1
0	0	3	13	1290	1	-1	-1
0	0	3	14	555	1	-1	-1
0	0	3	15	378	1	-1	-1
0	0	3	16	4000	-1	-1	-1
0	0	4	0	570	0	-1	-1
0	0	4	1	495	0	-1	-1
0	0	4	2	4000	-1	-1	-1
0	0	4	3	515	0	-1	-1
0	0	4	5	865	1	-1	-1
0	0	4	6	580	0	-1	-1
0	0	4	7	630	0	-1	-1
0	0	4	8	425	0	-1	-1
0	0	4	9	1105	1	-1	-1
0	0	4	10	355	0	-1	-1
0	0	4	11	655	1	-1	-1
0	0	4	12	600	0	-1	-1
0	0	4	13	834	0	-1	-1
0	0	4	14	1432	1	-1	-1
0	0	4	15	715	0	-1	-1
0	0	4	16	531	0	-1	-1
0	0	5	0	785	0	-1	-1
0	0	5	1	524	1	-1	-1
0	0	5	2	540	1	-1	-1
0	0	5	3	635	0	-1	-1
0	0	5	4	855	0	-1	-1
0	0	5	6	750	0	-1	-1
0	0	5	7	605	0	-1	-1
0	0	5	8	805	1	-1	-1
0	0	5	9	1470	0	-1	-1
0	0	5	10	355	0	-1	-1
0	0	5	11	575	1	-1	-1
0	0	5	12	646	1	-1	-1
0	0	5	13	770	1	-1	-1
0	0	5	14	1200	0	-1	-1
0	0	5	15	665	0	-1	-1
0	0	5	16	665	0	-1	-1
0	0	6	0	585	1	-1	-1
0	0	6	1	311	1	-1	-1
0	0	6	2	720	1	-1	-1
0	0	6	3	4000	-1	-1	-1
0	0	6	4	350	1	-1	-1
0	0	6	5	370	1	-1	-1
0	0	6	7	4000	-1	-1	-1
0	0	6	8	355	1	-1	-1
0	0	6	9	360	1	-1	-1
0	0	6	10	4000	-1	-1	-1
0	0	6	11	309	1	-1	-1
0	0	6	12	297	1	-1	-1
0	0	6	13	395	1	-1	-1
0	0	6	14	990	1	-1	-1
0	0	6	15	309	1	-1	-1
0	0	6	16	4000	-1	-1	-1
0	0	7	0	2415	1	-1	-1
0	0	7	1	924	1	-1	-1
0	0	7	2	270	1	-1	-1
0	0	7	3	4000	-1	-1	-1
0	0	7	4	661	1	-1	-1
0	0	7	5	545	1	-1	-1
0	0	7	6	4000	-1	-1	-1
0	0	7	8	455	1	-1	-1
0	0	7	9	675	1	-1	-1
0	0	7	10	4000	-1	-1	-1
0	0	7	11	565	1	-1	-1
0	0	7	12	518	1	-1	-1
0	0	7	13	525	1	-1	-1
0	0	7	14	455	1	-1	-1
0	0	7	15	4000	-1	-1	-1
0	0	7	16	4000	-1	-1	-1
0	0	8	0	410	0	-1	-1
0	0	8	1	565	0	-1	-1
0	0	8	2	350	1	-1	-1
0	0	8	3	365	0	-1	-1
0	0	8	4	1220	1	-1	-1
0	0	8	5	486	0	-1	-1
0	0	8	6	365	0	-1	-1
0	0	8	7	425	0	-1	-1
0	0	8	9	595	0	-1	-1
0	0	8	10	267	0	-1	-1
0	0	8	11	606	1	-1	-1
0	0	8	12	607	0	1	-1
0	0	8	13	854	0	-1	-1
0	0	8	14	1790	1	-1	-1
0	0	8	15	385	1	-1	-1
0	0	8	16	415	0	-1	-1
0	0	9	0	930	0	-1	-1
0	0	9	1	733	1	-1	-1
0	0	9	2	335	1	-1	-1
0	0	9	3	705	0	-1	-1
0	0	9	4	925	0	-1	-1
0	0	9	5	1070	1	-1	-1
0	0	9	6	630	0	-1	-1
0	0	9	7	780	0	-1	-1
0	0	9	8	835	0	-1	-1
0	0	9	10	355	0	-1	-1
0	0	9	11	520	1	-1	-1
0	0	9	12	597	1	-1	-1
0	0	9	13	905	1	-1	-1
0	0	9	14	335	1	-1	-1
0	0	9	15	1200	0	-1	-1
0	0	9	16	840	0	-1	-1
0	0	10	0	645	0	-1	-1
0	0	10	1	344	0	-1	-1
0	0	10	2	805	0	-1	-1
0	0	10	3	415	0	-1	-1
0	0	10	4	1040	1	-1	-1
0	0	10	5	600	0	-1	-1
0	0	10	6	4000	-1	-1	-1
0	0	10	7	455	0	-1	-1
0	0	10	8	445	0	-1	-1
0	0	10	9	4000	-1	-1	-1
0	0	10	11	390	0	-1	-1
0	0	10	12	434	0	-1	-1
0	0	10	13	654	0	-1	-1
0	0	10	14	455	0	-1	-1
0	0	10	15	440	0	-1	-1
0	0	10	16	358	0	-1	-1
0	0	11	0	900	1	-1	-1
0	0	11	1	516	1	-1	-1
0	0	11	2	295	1	-1	-1
0	0	11	3	460	0	-1	-1
0	0	11	4	530	1	-1	-1
0	0	11	5	1190	1	-1	-1
0	0	11	6	4000	-1	-1	-1
0	0	11	7	474	0	-1	-1
0	0	11	8	491	1	-1	-1
0	0	11	9	905	1	-1	-1
0	0	11	10	295	0	-1	-1
0	0	11	12	632	1	-1	-1
0	0	11	13	410	0	-1	-1
0	0	11	14	225	1	-1	-1
0	0	11	15	880	0	-1	-1
0	0	11	16	550	0	-1	-1
0	0	12	0	1067	0	-1	-1
0	0	12	1	615	1	-1	-1
0	0	12	2	2755	-1	-1	-1
0	0	12	3	459	0	-1	-1
0	0	12	4	406	1	-1	-1
0	0	12	5	623	0	-1	-1
0	0	12	6	337	0	-1	-1
0	0	12	7	617	0	-1	-1
0	0	12	8	4000	-1	-1	-1
0	0	12	9	603	0	-1	-1
0	0	12	10	288	0	-1	-1
0	0	12	11	416	0	-1	-1
0	0	12	13	3251	0	-1	-1
0	0	12	14	720	1	-1	-1
0	0	12	15	495	0	-1	-1
0	0	12	16	629	0	-1	-1
0	0	13	0	958	0	-1	-1
0	0	13	1	688	1	-1	-1
0	0	13	2	2015	0	-1	-1
0	0	13	3	4000	-1	-1	-1
0	0	13	4	465	0	-1	-1
0	0	13	5	774	0	-1	-1
0	0	13	6	370	0	-1	-1
0	0	13	7	1390	0	-1	-1
0	0	13	8	466	1	-1	-1
0	0	13	9	774	0	-1	-1
0	0	13	10	355	0	-1	-1
0	0	13	11	444	1	-1	-1
